book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
Lp6ZWXUI6YIC,dance,Dance Dance Dance,No Subtitle,Haruki Murakami,"*PRE-ORDER HARUKI MURAKAMI’S NEW NOVEL, THE CITY AND ITS UNCERTAIN WALLS, NOW* An assault on the senses, part murder mystery, part metaphysical speculation; a fable for our times as catchy as a rock song blasting from the window of a sports car. High-class call girls billed to Mastercard. A psychic 13-year-old dropout with a passion for Talking Heads. A hunky matinee idol doomed to play dentists and teachers. A one-armed beach-combing poet, an uptight hotel clerk and one very bemused narrator caught in the web of advanced capitalist mayhem. Combine this offbeat cast of characters with Murakami's idiosyncratic prose and out comes Dance Dance Dance. 'If Raymond Chandler had lived long enough to see Blade Runner, he might have written something like Dance Dance Dance' Observer","[{'type': 'ISBN_13', 'identifier': '9781448103676'}, {'type': 'ISBN_10', 'identifier': '1448103673'}]",True,False,402,Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=Lp6ZWXUI6YIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Lp6ZWXUI6YIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,530.11,INR,265.06,INR,https://play.google.com/store/books/details?id=Lp6ZWXUI6YIC&rdid=book-Lp6ZWXUI6YIC&rdot=1&source=gbs_api,2011,Random House
_xytUIuaxloC,dance,What is Dance?,Readings in Theory and Criticism,"Roger Copeland, Marshall Cohen","A wide variety of writing is included in this anthology, from the practical criticism of Arlene Croce and David Denby to the more scholarly work of Rudoloph Arnheim, Suzanne Langer, and Havelock Ellis. The collection is divided into seven sections: What is Dance?; the Dance Medium; Dance andthe Other Arts; Genre and Style; Language, Notation, and Identity; Dance Criticism; and Dance and Society.","[{'type': 'ISBN_13', 'identifier': '9780195031973'}, {'type': 'ISBN_10', 'identifier': '0195031970'}]",True,True,606,Music,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=_xytUIuaxloC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=_xytUIuaxloC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",1,2.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1983,Oxford [Oxfordshire] ; New York : Oxford University Press
LPRfvgAACAAJ,dance,Dance Is for Everyone,No Subtitle,Unknown Author,"When an alligator shows up to class one day, Mrs. Iraina and her ballet students are very suprised. But she is able to follow along, so they decide it's okay for her to join. The class starts calling her Tanya and even creates a new dance to showcase her larger-than-life talents and big, swishy tail: ""The Legend of the Swamp Queen."" Tanya has the starring role.","[{'type': 'ISBN_10', 'identifier': '1454921145'}, {'type': 'ISBN_13', 'identifier': '9781454921141'}]",False,False,32,Alligators,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=LPRfvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=LPRfvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2017,Unknown Publisher
XmEVDAAAQBAJ,dance,Does the Elephant Dance?,Contemporary Indian Foreign Policy,David Malone,Surveys the main features of contemporary Indian foreign policy.,"[{'type': 'ISBN_13', 'identifier': '9780199552023'}, {'type': 'ISBN_10', 'identifier': '0199552029'}]",False,True,448,History,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=XmEVDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=XmEVDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2011,Oxford University Press
mTHwrQEACAAJ,dance,Indian Classical Dance,The Renaissance and Beyond,Leela Venkataraman,"Covering eight classical dance forms of India Bharatanatyam, Kathak, Kuchipudi, Kathakali, Manipuri, Mohiniattam, Odissi and Sattriya Leela Venkataraman seamlessly weaves together a historical perspective with the contemporary scenario. Stripped of their association with the temple and the court, classical dance traditions in India went through a series of unprecedented change in the period marking the last few years of British rule and thereafter. From becoming part of the nationalist struggle when India was trying to rediscover its lost identity, to sharing the international stage today with dance forms from all over the world, the last sixty-six years have seen many changes in perspective and presentation of Indian Classical Dance some intentional, others involuntary. While looking at these years closely and their impact on dance forms, one realises that this is a phase in an ongoing process, with each new generation of dancers and musicians adding to an already rich tapestry of tradition.""","[{'type': 'ISBN_10', 'identifier': '9383098643'}, {'type': 'ISBN_13', 'identifier': '9789383098644'}]",False,False,0,Dance,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=mTHwrQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=mTHwrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2015,Unknown Publisher
Kf3FzQEACAAJ,dance,Dazzling Dancing Diva,No Subtitle,Elaine Bailey,"Come Saute' on Rainbows bright and beautiful as the sky, or Maybe Plie' in a field of bubbles and sunflowers, and let's not forget to dance in the raining sprinkles falling from the sky, This is just a normal day for Jade in her dance class with Madam KIki . Come learn some Dazzling Dance Moves with Jade and her best friend Galaxy, as they have a full journey and haven't even left the dance room . If your child has a fun and animated personality, come experience a dance class in a whole new way! Jade's a nine year old little girl that has dreams of becoming a famous ballerina she lives with her mom, dad, and annoying little brother Miles. This book doesn't only teach your child ballet terms and positions, but its positive ,eye catching ,and exudes hope and teachers our young children to be proud of the skin that they are in . So lets go Dazzling Dancing Diva's ! Remember: Don't let someone ever Dim your light simply because its shining in their eyes.","[{'type': 'ISBN_13', 'identifier': '9798655430495'}]",False,False,33,Uncategorized,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=Kf3FzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Kf3FzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2020,Unknown Publisher
27onCgAAQBAJ,dance,Street Dance,The Best Moves,DJ Hooch,"STREET DANCE: THE BEST MOVES is the perfect introduction to major street dance styles with easy-to-follow step-by-step photography. As well as learning the various types of street dance, including B-boy, Popping, Locking, Hip Hop and House - and the basic moves of each of these - you'll get tips on the best tracks to dance to, what clothes to wear to look the part, and be given expert advice from top dancers across the globe. . Throughout the book there are also embedded videos, showing the step-by-steps put into practice so you can check you're doing it right!","[{'type': 'ISBN_13', 'identifier': '9781844038718'}, {'type': 'ISBN_10', 'identifier': '1844038718'}]",True,True,144,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=27onCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=27onCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,796.5,INR,398.25,INR,https://play.google.com/store/books/details?id=27onCgAAQBAJ&rdid=book-27onCgAAQBAJ&rdot=1&source=gbs_api,2015,Hachette UK
4gp6O3eufGYC,dance,Color Dance,No Subtitle,Ann Jonas,"The girl in red, the girl in yellow, the girl in blue, and the boy in black and white are all set to stir up the rainbow. Watch them create a living kaleidoscope, step by step by step.","[{'type': 'ISBN_13', 'identifier': '9780688059903'}, {'type': 'ISBN_10', 'identifier': '0688059902'}]",False,False,42,Juvenile Fiction,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=4gp6O3eufGYC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=4gp6O3eufGYC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,1989,Harper Collins
yerTAAAAQBAJ,dance,Moving History/Dancing Cultures,A Dance History Reader,"Ann Dils, Ann Cooper Albright",A comprehensive and multifaceted anthology of dance history -- ideal for the classroom.,"[{'type': 'ISBN_13', 'identifier': '9780819564139'}, {'type': 'ISBN_10', 'identifier': '0819564133'}]",False,False,513,Performing Arts,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=yerTAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=yerTAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,NOT_FOR_SALE,False,0.0,USD,0.0,USD,No Link,2001,Wesleyan University Press
JS_pCAAAQBAJ,dance,Movement and Mimesis,The Idea of Dance in the Sanskritic Tradition,Mandakranta Bose,"The most comprehensive view of the evolution of dancing in India is one that is derived from Sanskrit textual sources. These texts are the basic material that students of the dance in India must examine in order to uncover its past. Since the rebirth of informed interest in dancing in early twentieth century, its antiquity has been acknowledged but precisely what the art was in antiquity remains unclear. Discovering the oldest forms of dancing in India requires, as do other historical quests, a reconstruction of the past and, again as in other historical investigations, the primary sources of knowledge are records from the past. In this case the records are treatises and manuals in Sanskrit that discuss and describe dancing. These are the sources that the present work sets out to mine. These texts taken collectively are more than records of a particular state of the art. They testify to the growth of the theory and practice of the art and thus establish it as an evolving rather than a fixed art form that changed as much in response to its own expanding aesthetic boundaries as to parallel or complementary forms of dance, drama and music that impinged upon it as India's social and political situation changed. When we place the Sanskrit treatises in chronological sequence it becomes clear that the understanding of the art has changed through time, in its infancy as well as in maturer periods.","[{'type': 'ISBN_13', 'identifier': '9789401135948'}, {'type': 'ISBN_10', 'identifier': '9401135940'}]",False,True,343,Philosophy,en,"{'smallThumbnail': 'http://books.google.com/books/content?id=JS_pCAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=JS_pCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}",0,0.0,IN,FOR_SALE,True,4200.8,INR,4200.8,INR,https://play.google.com/store/books/details?id=JS_pCAAAQBAJ&rdid=book-JS_pCAAAQBAJ&rdot=1&source=gbs_api,2012,Springer Science & Business Media
